feature,importance
kills_per_round_both,0.3017249
rounds_with_a_multi-kill_both,0.11737536
rounds_with_a_multi-kill_ct,0.05943774
kast_traditional,0.022425456
sniper_multi-kill_rounds_ct,0.019439988
dpr_traditional,0.018548828
kills_per_round_ct,0.018508041
kills_per_round_t,0.0153400395
opening_attempts_ct,0.012244824
kills_per_round_win_both,0.012199915
win%_after_opening_kill_both,0.012071763
opening_kills_per_round_ct,0.009414891
flash_assists_per_round_t,0.008770366
trade_kills_percentage_t,0.00870892
time_alive_per_round_t,0.008675602
sniper_kills_per_round_t,0.008389225
flash_assists_per_round_ct,0.007839575
sniper_opening_kills_per_round_t,0.007554342
last_alive_percentage_ct,0.007468666
saved_teammate_per_round_ct,0.0074414304
sniper_opening_kills_per_round_ct,0.0071610697
opening_attempts_both,0.007103707
opening_kills_per_round_both,0.0070389905
win%_after_opening_kill_ct,0.006857179
saved_teammate_per_round_both,0.0066981316
traded_deaths_percentage_both,0.0065884935
rounds_with_sniper_kills_percentage_ct,0.0060032816
trade_kills_percentage_ct,0.005712014
trade_kills_percentage_both,0.005664123
time_opponent_flashed_per_round_t,0.005535982
rounds_with_sniper_kills_percentage_t,0.0054532643
saves_per_round_loss_t,0.005268489
damage_per_kill_t,0.0052641435
saves_per_round_loss_ct,0.00509394
flashes_thrown_per_round_both,0.0050446475
time_alive_per_round_both,0.0050440026
sniper_kills_percentage_t,0.0050437693
sniper_multi-kill_rounds_t,0.004738039
flashes_thrown_per_round_t,0.0047074286
saved_by_teammate_per_round_ct,0.0046264827
utility_kills_per_100_rounds_both,0.004575647
support_rounds_t,0.0045564105
utility_kills_per_100_rounds_ct,0.0045344452
traded_deaths_percentage_t,0.00453338
sniper_opening_kills_per_round_both,0.0044098776
saves_per_round_loss_both,0.0042266217
trade_kills_per_round_both,0.0042201164
clutch_points_per_round_ct,0.004153757
assisted_kills_percentage_ct,0.0041292715
support_rounds_both,0.0040677157
saved_by_teammate_per_round_both,0.0040399986
time_alive_per_round_ct,0.003973039
sniper_kills_per_round_ct,0.003906791
saved_by_teammate_per_round_t,0.0038733606
time_opponent_flashed_per_round_both,0.0038594669
opening_deaths_traded_percentage_ct,0.0038052713
clutch_points_per_round_both,0.0036264223
utility_kills_per_100_rounds_t,0.003494329
kills_per_round_win_ct,0.0034387282
flashes_thrown_per_round_ct,0.0034372658
opening_kills_per_round_t,0.0033585778
damage_per_round_both,0.0032826508
opening_success_ct,0.0032247885
trade_kills_per_round_ct,0.0031814133
damage_per_round_win_t,0.0031151113
support_rounds_ct,0.0030561334
assists_per_round_t,0.0030539143
damage_per_round_win_ct,0.0030309425
rounds_with_a_multi-kill_t,0.003022492
1on1_win_percentage_both,0.0030095363
opening_success_t,0.0027710027
1on1_win_percentage_t,0.002721717
damage_per_round_ct,0.002690499
opening_attempts_t,0.00256556
opening_deaths_traded_percentage_both,0.0025259901
last_alive_percentage_both,0.002511436
damage_per_kill_ct,0.0025035692
attacks_per_round_both,0.0024963343
time_opponent_flashed_per_round_ct,0.0024961343
rounds_with_a_kill_t,0.0024872518
win%_after_opening_kill_t,0.0024736202
opening_deaths_traded_percentage_t,0.002468887
damage_per_round_win_both,0.0024434202
saved_teammate_per_round_t,0.0024258406
attacks_per_round_ct,0.0024218687
damage_per_round_t,0.0023116444
traded_deaths_percentage_ct,0.0022834688
trade_kills_per_round_t,0.0022549499
attacks_per_round_t,0.0021719667
rounds_with_a_kill_both,0.002157267
opening_deaths_per_round_t,0.0021078927
opening_success_both,0.0020733096
adr_traditional,0.0020217048
sniper_kills_percentage_ct,0.0019780193
assists_per_round_both,0.0019619812
utility_damage_per_round_both,0.0019481997
1on1_win_percentage_ct,0.001940212
utility_damage_per_round_ct,0.0018864997
utility_damage_per_round_t,0.0018148057
assists_per_round_ct,0.0017834094
rounds_with_a_kill_ct,0.0017502854
traded_deaths_per_round_ct,0.0016769703
sniper_multi-kill_rounds_both,0.0016444004
sniper_kills_per_round_both,0.0016222893
rounds_with_sniper_kills_percentage_both,0.0015168972
last_alive_percentage_t,0.0014574624
kills_per_round_win_t,0.0014379589
damage_per_kill_both,0.0013621097
traded_deaths_per_round_t,0.0013589836
clutch_points_per_round_t,0.0012709311
sniper_kills_percentage_both,0.0011802085
assisted_kills_percentage_t,0.0011616623
opening_deaths_per_round_ct,0.0011097614
flash_assists_per_round_both,0.0010140082
assisted_kills_percentage_both,0.0009332901
traded_deaths_per_round_both,0.00037980883
opening_deaths_per_round_both,0.0
kpr_traditional,0.0
