experiment,acc_1,acc_3,acc_5,top1_acc,top5_overlap,spearman,kendall_tau,r2,mae,year
V2.1,0.3,0.35,0.5,1.0,0.6,0.3654135338345864,0.25263157894736843,0.30369177628210753,5.2,2016
V2.1,0.45,0.65,0.8,0.0,0.8,0.7428571428571428,0.5894736842105264,0.4082294908514027,3.1,2017
V2.1,0.4,0.75,0.8,1.0,0.8,0.7488721804511278,0.6000000000000001,0.7862308081819426,2.8,2018
V2.1,0.4,0.55,0.8,1.0,0.8,0.732330827067669,0.5894736842105264,0.7397626234032193,3.1,2019
V2.1,0.35,0.6,0.9,1.0,0.8,0.7744360902255639,0.6105263157894737,0.8148951705099557,2.9,2020
V2.1,0.45,0.55,0.7,1.0,0.8,0.5172932330827067,0.4105263157894737,0.6417531890924789,3.9,2021
V2.1,0.55,0.65,0.8,0.0,1.0,0.8451127819548873,0.6736842105263158,0.7970286360131638,2.3,2022
V2.1,0.15,0.45,0.6,1.0,0.4,0.5684210526315789,0.38947368421052636,0.16794288409122604,4.5,2023
V2.1,0.1,0.6,0.75,0.0,0.6,0.5218045112781955,0.35789473684210527,0.37511722713224827,4.3,2024
V2.1,0.45,0.65,0.8,0.0,0.8,0.7413533834586465,0.5789473684210527,0.7100399648235642,3.2,2025
V2.2,0.15,0.5,0.6,1.0,0.6,0.32481203007518794,0.2105263157894737,0.059247806938077185,5.2,2016
V2.2,0.35,0.6,0.65,0.0,0.8,0.6,0.4421052631578947,0.29260697570725436,3.9,2017
V2.2,0.45,0.7,0.7,1.0,0.8,0.6857142857142857,0.5368421052631579,0.6981933660932719,3.2,2018
V2.2,0.55,0.6,0.85,1.0,0.8,0.8390977443609022,0.6526315789473685,0.8534920494586793,2.3,2019
V2.2,0.45,0.7,0.85,0.0,0.6,0.7233082706766917,0.5578947368421052,0.6641273104208897,3.1,2020
V2.2,0.35,0.55,0.85,1.0,0.8,0.58796992481203,0.5263157894736842,0.5828073177997386,3.8,2021
V2.2,0.35,0.55,0.9,1.0,1.0,0.7864661654135338,0.6421052631578947,0.8171569056476747,2.9,2022
V2.2,0.35,0.45,0.7,1.0,0.6,0.6436090225563909,0.4736842105263158,0.304931609459422,3.9,2023
V2.2,0.1,0.45,0.6,0.0,0.6,0.49022556390977434,0.35789473684210527,0.3758698298886116,4.8,2024
V2.2,0.3,0.5,0.7,0.0,0.8,0.6541353383458646,0.4736842105263158,0.6484234740547895,3.9,2025
